Titulo,Categoria,Url,Raciones,Ingredientes,Instrucciones
Albóndigas de carne,Carnes,https://www.eladerezo.com/recetas/albondigas-de-carne.html,4,11 ingredientes: 250 g Carne de Añojo - 250 g Carne de Vacuno - 1/2 pan de hamburguesa - 3 cucharadas leche - 1 cebolleta - 1/2  Pimiento verde - sal - Pimienta - 1/2 l Caldo de carne - Aceite de Girasol - Harina,Instrucciones: 1) Echamos en un cuenco junto con la carne de ternera picada. 2) Salpimentamos a nuestro gusto. 3) En otro cuenco trituramos el pan de media Burger y mezclamos con las tres cucharadas de leche. Mezclamos el pan con la carne.  4) Formamos una bola y después empezamos a preparar las albóndigas de carne. 5) Una vez tengamos todas ponemos aceite vegetal a calentar en una sartén. 6) Pasamos las albóndigas de carne por harina y doramos en la sartén. 7) En una cazuela pochamos la cebolleta y el pimiento verde que habremos picado finamente previamente. 8) Cuando esté pochado a nuestro gusto vertemos el caldo incorporamos las albóndigas y dejamos hervir a fuego bajo-medio durante 20-25 minutos con la cazuela tapada. 9) Rectificamos el punto de sal si hiciera falta. 10) En lo que se hacen las albóndigas al fuego colocamos las patatas en una fuente esparcimos un poco de tomillo o romero fresco por encima y calentamos en el horno durante 10 minutos. 11) Servimos las albóndigas de carne acompañadas por las patatas. 
Salmón a la naranja,Pescados y Mariscos,https://www.eladerezo.com/recetas/salmon-a-la-naranja.html,4,8 ingredientes: 2 Lomos de salmón - 2 naranjas - 200 g uvas - 1 cucharada Mantequilla - Eneldo - sal - Pimienta - 2 zanahorias,Instrucciones: 1) Cuando esté derretida la mantequilla echamos en la sartén por el lado de la carne los lomos de salmón. 2) Dejamos que se hagan durante unos minutos damos la vuelta incorporamos el zumo de naranja la zanahoria cocida y en rodajas junto con las uvas. 3) Movemos suavemente la sartén para que se integre el zumo con la mantequilla. Tapamos la sartén y dejamos un par de minutos. 4) Quitamos la tapa subimos el fuego y dejamos que se espese la salsa por medio de la evaporación de los jugos. 5) Cuando esté el salmón a nuestro gusto a nosotros nos gusta que esté la carne muy rosita y poco hecha retiramos la sartén del fuego. 6) Servimos el Salmón a la naranja en platos salseamos y degustamos. 
Mermelada de Mango,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-mango.html,8,5 ingredientes: 100 g Harina - 90 g Almendras - 1 Huevo - 3 cucharada Azúcar glass - Una pizca de sal,Instrucciones: 1) Echamos la harina y la almendra molida en un bol grande junto con la mantequilla cortada en dados. Frotamos la harina y la mantequilla con las puntas de los dedos hasta conseguir que la mezcla resultante tenga un aspecto al pan rallado. Si ves que la mantequilla se ablanda introduce el bol 5 minutos en la nevera para que se enfríe y después sigue frotando. 2) Vertemos el huevo batido y mezclamos brevemente hasta obtener una masa homogénea. Formamos una bola que envolveremos en papel film. Guardamos en la nevera durante tres cuartos de hora. 3) Colocamos papel de horno sobre la encimera. Colocamos la bola de masa en el centro del papel y cubrimos con otra hoja. Aplastamos suavemente con la ayuda de un rodillo hasta obtener una lámina de tres o cuatro milímetros de grosor. 4) Quitamos la lámina superior y volcamos la masa sobre un molde antiadherente o engrasado previamente dejando el papel y procuramos que la masa esté bien colocada en el molde. Recortamos la masa sobrante con un cuchillo procurando dejar un centímetro sobre el borde del molde. Guardamos el molde en la nevera en lo que se precalienta el horno a 180º y la masa se quede firme al tacto. 5) Sacamos de la nevera tapamos la superficie de la masa con papel de horno y cubrimos con legumbres o bolas de cerámica sobre todo en la parte de los bordes. 6) Horneamos durante 20 minutos. Sacamos y retiramos las legumbres y el papel. 7) En lo que se enfría la masa nos ponemos con el relleno de la tarta de mango. 8) Lavamos y secamos los mangos. Cortamos en trozos no muy grandes aprovechando al máximo la carne pegada al hueso. Lo colocamos en un cuenco amplio junto con la nata los 5 huevos y el azúcar. 9) Batimos todo bien y vertemos sobre la base de la tarta. 10) Introducimos en el horno y dejamos hacer durante 40 minutos o hasta que el relleno se solidifique de modo que si movemos la bandeja la tarta tiemble como si fuese un flan. 11) Sacamos del horno la tarta de mango y dejamos enfriar. 12) Mermelada de Mango 13) Llevamos a fuego medio fuerte. En cuanto empiece a hervir tapamos el cazo y bajamos el fuego al mínimo. Removemos de vez en cuando y dejamos hacer durante diez minutos. Retiramos del fuego. 14) Cuando esté más frío que templado vertemos sobre la tarta de mango.  15) Dejamos que enfríe completamente. 16) Servimos y degustamos . <<Mermelada de Mango>> 1) Llevamos a fuego medio fuerte. En cuanto empiece a hervir tapamos el cazo y bajamos el fuego al mínimo. Removemos de vez en cuando y dejamos hacer durante diez minutos. Retiramos del fuego. 2) Cuando esté más frío que templado vertemos sobre la tarta de mango.  3) Dejamos que enfríe completamente. 4) Servimos y degustamos 
Bizcocho de albaricoques,Dulces y postres,https://www.eladerezo.com/recetas/bizcocho-de-albaricoques.html,6,11 ingredientes: 3 Huevos - 6 Albaricoques - 160 gr harina de repostería - 140 gr Azúcar blanco - 3 cucharada Aceite de oliva virgen extra - 2 cucharada Mantequilla - 1 Sobre de levadura - 100 ml Nata líquida para montar 35% M. G. - 1 limón - Una pizca de sal - Azúcar glass,Instrucciones: 1) Echamos en un cuenco los huevos el azúcar y el aceite de oliva virgen extra. 2) Batimos bien con la ayuda de unas varillas hasta que veamos que adquiere una textura esponjosa. 3) Incorporamos la nata la mantequilla y la ralladura de limón. 4) Batimos suavemente. 5) Añadimos la harina la levadura y una pizca de sal. 6) Mezclamos todo el conjunto. 7) Colocamos papel de horno sobre el molde. 8) Vertemos la masa en su interior. 9) Lavamos secamos y cortamos a la mitad los albaricoques. 10) Quitamos el hueso y colocamos sobre la masa con la piel sobre la superficie. 11) Espolvoreamos un poco de azúcar sobre los albaricoques. 12) Introducimos el molde en el centro del horno cerramos y bajamos la temperatura a 180º. 13) Dejamos hacer durante 15-20 minutos. 14) Sacamos y dejamos enfríar. 15) Espolvoreamos azúcar glass por encima y degustamos. 
Macarrones de San Juan un postre típico de Ibiza y Formentera,Dulces y postres,https://www.eladerezo.com/recetas/macarrones-de-san-juan.html,4,6 ingredientes: 150 g pasta - 1 l Leche entera - 200 g Azúcar blanco - 1 limón - Canela molida - Canela en rama,Instrucciones: 1) Cuando la leche rompa a hervir retiramos la canela y el limón. 2) Añadimos la pasta. 3) Cocemos hasta que estén cocidas al punto y el líquido haya espesado un poco. 4) Dejamos enfriar. 5) Servimos los macarrones caldosos en platos hondos y espolvoreados con canela molida. 
Bizcochitos de nueces tomillo y limón,Dulces y postres,https://www.eladerezo.com/recetas/bizcochitos-de-nueces-tomillo-y-limon.html,4,12 ingredientes: 2 Huevos - 180 g harina de repostería - 160 g Azúcar blanco - 1 Sobre de levadura - 3 cucharada Aceite de oliva virgen extra - 2 cucharada Mantequilla - 100 ml Nata líquida para montar 35% M. G. - 1 limón - 50 g nueces - Hojas tomillo fresco - Una pizca de sal - Azúcar blanco,Instrucciones: 1) En lo que alcanza la temperatura nos ponemos a preparar la masa del bizcocho. 2) En un cuenco echamos los huevos el azúcar y el aceite de oliva virgen extra.  3) Batimos bien con la ayuda de unas varillas hasta que veamos que adquiere una textura esponjosa. 4) Incorporamos la nata la mantequilla y la ralladura de limón. 5) Batimos suavemente. 6) Añadimos la harina la levadura y una pizca de sal. 7) Mezclamos todo el conjunto. 8) Engrasamos los moldes para tartaletas. 9) Repartimos la masa. 10) Esparcimos las nueces peladas por la superficie un poco de azúcar por encima y unas hojas de tomillo. 11) Introducimos los moldes en el horno bajamos la temperatura a 180º y dejamos hacer durante 10-15 minutos. 12) Comprobamos que están hechos sacamos y dejamos enfríar. 
Cómo hacer crema de galletas maría y caramelo si no tenemos Thermomix,Dulces y postres,https://www.eladerezo.com/recetas/crema-de-galletas-maria-y-chocolate.html,8,8 ingredientes: 10 galletas - 100 g Azúcar blanco - 40 g  caramelo líquido - 500 g Nata líquida para montar 35% M. G. - 400 g Leche entera - 1 sobre cuajada - 70 g Chocolate de cobertura - Galletitas para decorar,Instrucciones: 1) Incorporamos el azúcar la leche la nata el caramelo y el contenido del sobre de la cuajada. 2) Programamos 9 minutos 90º de temperatura velocidad 4. 3) Repartimos en vasitos reservando como cuatro cucharadas de la crema en el vaso de la Thermomix para deshacer el chocolate en él. 4) Añadimos el chocolate en el interior del vaso donde hemos reservado un poco de la crema y trituramos durante 2 minutos velocidad 2 90º. 5) El chocolate ya estará listo para verter encima de la crema que hemos repartido en los vasitos. 6) Con cuidado repartimos el chocolate por los vasitos y dejamos enfriar. 7) A la hora de servir decoramos con unas galletitas María. 8) Cómo hacer crema de galletas maría y caramelo si no tenemos Thermomix 9) Llevamos al fuego primero medio-máximo hasta que veamos que empieza a humear y vemos que llega a punto de ebullición. 10) Bajamos el fuego y sin dejar de remover con la ayuda de unas varillas o una cuchara de palo contamos ocho minutos. 11) Repartimos la mezcla en vasitos o cuencos individuales y dejamos templar. 12) Deshacemos el chocolate en el microondas y vertemos encima de la crema de galletas. 13) Dejamos enfriar por completo decoramos con unas galletitas o virutas de chocolate y servimos. . <<Cómo hacer crema de galletas maría y caramelo si no tenemos Thermomix>> 1) Llevamos al fuego primero medio-máximo hasta que veamos que empieza a humear y vemos que llega a punto de ebullición. 2) Bajamos el fuego y sin dejar de remover con la ayuda de unas varillas o una cuchara de palo contamos ocho minutos. 3) Repartimos la mezcla en vasitos o cuencos individuales y dejamos templar. 4) Deshacemos el chocolate en el microondas y vertemos encima de la crema de galletas. 5) Dejamos enfriar por completo decoramos con unas galletitas o virutas de chocolate y servimos. 
Cómo hacer palomitas de fresas de fresas deshidratadas,Dulces y postres,https://www.eladerezo.com/recetas/palomitas-fresas-fresas-deshidratadas.html,4,4 ingredientes: 90 g Granos de maíz - 100 g Mantequilla - 2 cucharadas Aceite de Girasol - 2 cucharadas fresas,Instrucciones: 1) Cuando empiecen a estallar con cuidado añadimos el resto de los granos. Tapamos de nuevo y agitamos bien la olla mientras siguen estallando las palomitas dentro. 2) Cuando los estallidos pasen a producirse cada 3-4 segundos retiramos del fuego y destapamos con cuidado (sale vapor y nos puede quemar).  3) Mientras tanto fundimos la mantequilla en un cazo la añadimos a las palomitas y removemos bien para que se empapen bien. Para finalizar echamos por encima la fresa en polvo y removemos. 4) Echamos las palomitas con fresas en un cuenco y a degustar. 
Pudin de Roscón de Reyes con manzanas reinetas,Dulces y postres,https://www.eladerezo.com/recetas/pudin-de-roscon-de-reyes-con-manzanas-reinetas.html,6,7 ingredientes: 1/2 Roscón de Reyes - 3 Huevos - 200 ml leche - 2  cucharadas Azúcar blanco - 2 manzanas - 2  cucharadas  Miel - 40 gr Avellanas,Instrucciones: 1) Con otra cuchara más preparamos unas quenelles colocamos sobre una bandeja e introducimos en el congelador hasta el momento de servir el pudin. 2) Engrasamos un molde apto para el horno y colocamos en su interior las dos partes del roscón sin nata procurando cubrir toda la base del molde. 3) Batimos en un cuenco los tres huevos la leche o nata y el azúcar. Vertemos sobre el bizcocho de Roscón. 4) Pelamos las manzanas cortamos a la mitad retiramos las semillas y cortamos en láminas no muy finas. 5) Colocamos las láminas de manzana sobre el bizcocho. Esparcimos las avellanas machacadas y un poco de azúcar blanco. 6) Introducimos en el centro del horno previamente precalentado a 200º y horneamos durante 40 minutos a 180º. 7) Pasado el tiempo abrimos la puerta del horno sin sacar el pudin de su interior y dejamos templar 10 minutos. 8) Vertemos las dos cucharadas de miel en un vaso junto a otra media de agua y templamos unos segundos en el microondas. 9) Sacamos el pudin de Roscón del horno vertemos la mezcla anterior por su superficie y servimos templado junto con la nata congelada y la fruta escarchada. 
Montaje de la Tarta de sobaos,Dulces y postres,https://www.eladerezo.com/recetas/tarta-de-sobaos-y-pina-en-thermomix.html,8,1 ingredientes: 820 g piña,Instrucciones: 1) Dejamos las rodajas de piña en el cestillo para que escurran todo el jugo que tienen. Entre 10 y 15 minutos. 2) Ponemos las rodajas de piña bien escurridas en el vaso de la Thermomix y programamos 30 segundos a velocidad progresiva 5-7-10. 3) Retiramos del vaso y reservamos. 4) Crema pastelera 5) Retiramos del vaso y reservamos en un bol que cubrimos con film transparente pegado a la crema para que no se forme corteza. 6) Nata montada 7) Colocamos las mariposas en las cuchillas vertemos la nata y programamos a velocidad 3 sin programar tiempo vigilando por el bocal hasta que la nata está bien montada. 8) Montaje de la Tarta de sobaos 9) Remojamos con el jugo de piña y cubrimos con la crema de piña. 10) Encima colocamos otra fila de sobaos cortados como se explica arriba. 11) De nuevo pincelamos con el jugo de piña reservado. 12) Vertemos encima la crema pastelera y la extendemos bien. Para manejarla mejor antes de extenderla es aconsejable moverla con unas varillas. 13) Sobre la crema colocamos la última fila de sobaos y pincelamos con el jugo de piña. 14) Cubrimos la tarta con la nata. 15) Decoramos con almendras picadas frutos rojos fideos de chocolate o lo que más te guste. 16) Y a disfrutar que está buenísima….. . <<Crema de piña>> 1) Dejamos las rodajas de piña en el cestillo para que escurran todo el jugo que tienen. Entre 10 y 15 minutos. 2) Ponemos las rodajas de piña bien escurridas en el vaso de la Thermomix y programamos 30 segundos a velocidad progresiva 5-7-10. 3) Retiramos del vaso y reservamos. . <<Crema pastelera>> 1) Retiramos del vaso y reservamos en un bol que cubrimos con film transparente pegado a la crema para que no se forme corteza. . <<Nata montada>> 1) Colocamos las mariposas en las cuchillas vertemos la nata y programamos a velocidad 3 sin programar tiempo vigilando por el bocal hasta que la nata está bien montada. . <<Montaje de la Tarta de sobaos>> 1) Remojamos con el jugo de piña y cubrimos con la crema de piña. 2) Encima colocamos otra fila de sobaos cortados como se explica arriba. 3) De nuevo pincelamos con el jugo de piña reservado. 4) Vertemos encima la crema pastelera y la extendemos bien. Para manejarla mejor antes de extenderla es aconsejable moverla con unas varillas. 5) Sobre la crema colocamos la última fila de sobaos y pincelamos con el jugo de piña. 6) Cubrimos la tarta con la nata. 7) Decoramos con almendras picadas frutos rojos fideos de chocolate o lo que más te guste. 8) Y a disfrutar que está buenísima….. 
